t_loc_time,t_data_time,x,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,e_loc_time,e_data_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12
2023-02-02 16:17:02.131,2023-02-02 16:17:02.168,41.39537434156138,2.154615229467347,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:57.999,2023-01-19 12:43:58.063,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:03.139,2023-02-02 16:17:03.177,41.39538777492738,2.1546010204288586,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:59.003,2023-01-19 12:43:59.091,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:04.165,2023-02-02 16:17:04.507,41.39524974221979,2.1544508496126107,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:00.027,2023-01-19 12:44:00.474,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:05.144,2023-02-02 16:17:05.171,41.39522608102385,2.1543562257980478,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:00.999,2023-01-19 12:44:01.044,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:06.166,2023-02-02 16:17:06.189,41.39519755687256,2.1542421544717962,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:02.019,2023-01-19 12:44:02.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:07.181,2023-02-02 16:17:07.202,41.39516051088241,2.154096311244985,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:03.022,2023-01-19 12:44:03.052,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:09.177,2023-02-02 16:17:09.195,41.39508989581319,2.1538216159464594,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:05.004,2023-01-19 12:44:05.035,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:10.190,2023-02-02 16:17:10.211,41.39505226266805,2.1536752215839714,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:06.006,2023-01-19 12:44:06.054,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:12.205,2023-02-02 16:17:12.227,41.394978533652285,2.153388412915226,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:08.008,2023-01-19 12:44:08.041,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:13.223,2023-02-02 16:17:13.245,41.394944458239046,2.1532467176871353,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:09.019,2023-01-19 12:44:09.051,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:15.233,2023-02-02 16:17:15.252,41.39487779366617,2.1529713146617033,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:11.023,2023-01-19 12:44:11.058,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:17.224,2023-02-02 16:17:17.244,41.39480991563323,2.152697853555209,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:12.989,2023-01-19 12:44:13.022,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:18.253,2023-02-02 16:17:18.270,41.39477685382072,2.1525655238992245,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:14.016,2023-01-19 12:44:14.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:20.248,2023-02-02 16:17:20.267,41.3947107257808,2.1523030757013757,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:16.000,2023-01-19 12:44:16.035,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:21.266,2023-02-02 16:17:21.283,41.39467669373174,2.1521658814715825,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:17.020,2023-01-19 12:44:17.042,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:22.266,2023-02-02 16:17:22.284,41.39464172752263,2.1520225458159663,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:44:18.005,2023-01-19 12:44:18.040,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
